Random,Name,Date,Location,Total Hours,Billable Hours,Clients Assigned,Clients Seen 
35,Mariano Defibaugh  ,1/23/2020,Location C,7.00,1,3,1
42,Archie Mobley  ,1/25/2020,Location A,3.00,1,4,1
16,Dorine Varnell  ,2/25/2020,Location D,3.00,0,5,4
95,Carolina Golla  ,1/10/2020,Location B,7.00,4,2,2
69,Alvina Brazee  ,1/18/2020,Location B,4.00,4,1,1
6,Bobbie Cannella  ,2/23/2020,Location B,2.00,2,3,2
17,Rueben Maxfield  ,3/7/2020,Location C,7.00,1,4,3
44,Mariano Defibaugh  ,1/3/2020,Location C,2.00,2,2,1
27,Felica Pajak  ,1/11/2020,Location C,3.00,0,2,1
40,Frederica Tope  ,3/2/2020,Location B,0.00,0,2,1
31,Rueben Maxfield  ,1/17/2020,Location A,2.00,2,5,4
34,Frederica Tope  ,3/2/2020,Location B,6.00,2,1,1
42,Archie Mobley  ,2/24/2020,Location C,1.00,0,1,1
48,Archie Mobley  ,2/24/2020,Location C,6.00,5,1,1
19,Frederica Tope  ,1/12/2020,Location D,7.00,2,3,2
36,Bobbie Cannella  ,3/24/2020,Location D,2.00,1,1,1
46,Khalilah Gratz  ,3/19/2020,Location C,4.00,2,1,1
25,Mariano Defibaugh  ,3/3/2020,Location C,7.00,4,5,2
89,Archie Mobley  ,2/14/2020,Location A,4.00,4,3,3
40,Dorine Varnell  ,3/16/2020,Location D,1.00,0,4,4
14,Felica Pajak  ,3/21/2020,Location A,1.00,0,5,4
17,Mariano Defibaugh  ,3/23/2020,Location C,7.00,3,4,3
95,Mariano Defibaugh  ,3/13/2020,Location A,5.00,1,5,3
63,Dorine Varnell  ,1/6/2020,Location B,1.00,1,1,1
56,Carolina Golla  ,2/29/2020,Location D,0.00,0,4,3
58,Alvina Brazee  ,3/18/2020,Location B,7.00,1,4,1
93,Khalilah Gratz  ,2/18/2020,Location A,2.00,0,1,1
24,Bobbie Cannella  ,1/24/2020,Location D,1.00,0,4,4
54,Rueben Maxfield  ,1/7/2020,Location C,0.00,0,5,5
33,Rueben Maxfield  ,1/27/2020,Location C,5.00,0,4,4
49,Carolina Golla  ,2/9/2020,Location D,3.00,2,3,3
62,Frederica Tope  ,1/12/2020,Location D,4.00,3,5,5
10,Frederica Tope  ,2/11/2020,Location B,0.00,0,1,1
16,Rueben Maxfield  ,1/7/2020,Location C,5.00,1,3,2
44,Mariano Defibaugh  ,3/23/2020,Location C,0.00,0,2,1
57,Bobbie Cannella  ,1/14/2020,Location B,8.00,0,1,1
67,Mariano Defibaugh  ,2/22/2020,Location A,3.00,1,2,1
48,Carolina Golla  ,3/30/2020,Location B,3.00,2,4,4
46,Bobbie Cannella  ,1/24/2020,Location D,6.00,4,5,1
63,Dorine Varnell  ,3/26/2020,Location B,0.00,0,4,1
96,Archie Mobley  ,2/14/2020,Location A,4.00,1,4,2
31,Alvina Brazee  ,1/8/2020,Location D,7.00,7,2,1
34,Rueben Maxfield  ,3/27/2020,Location C,3.00,0,1,1
67,Rueben Maxfield  ,1/17/2020,Location A,1.00,1,1,1
69,Alvina Brazee  ,4/7/2020,Location B,2.00,2,5,1
10,Carolina Golla  ,3/30/2020,Location B,6.00,4,4,2
8,Mariano Defibaugh  ,2/22/2020,Location A,3.00,3,4,3
37,Khalilah Gratz  ,3/9/2020,Location A,4.00,3,3,1
74,Carolina Golla  ,4/9/2020,Location D,8.00,2,3,3
66,Khalilah Gratz  ,1/9/2020,Location A,3.00,1,2,1
12,Khalilah Gratz  ,4/8/2020,Location C,0.00,0,4,4
13,Bobbie Cannella  ,3/4/2020,Location D,5.00,3,2,2
62,Rueben Maxfield  ,3/17/2020,Location A,8.00,1,3,2
23,Alvina Brazee  ,3/8/2020,Location D,8.00,6,2,2
3,Felica Pajak  ,1/31/2020,Location C,8.00,8,5,1
93,Carolina Golla  ,1/30/2020,Location B,5.00,2,2,2
37,Dorine Varnell  ,3/16/2020,Location D,5.00,0,2,1
15,Khalilah Gratz  ,2/28/2020,Location C,4.00,4,3,2
39,Archie Mobley  ,3/15/2020,Location C,5.00,2,1,1
16,Dorine Varnell  ,4/5/2020,Location D,0.00,0,3,3
81,Felica Pajak  ,3/11/2020,Location C,8.00,0,3,3
1,Carolina Golla  ,3/10/2020,Location B,5.00,3,2,1
24,Rueben Maxfield  ,1/17/2020,Location A,3.00,1,5,4
88,Mariano Defibaugh  ,1/13/2020,Location A,4.00,3,5,4
82,Mariano Defibaugh  ,1/13/2020,Location A,5.00,2,2,1
99,Dorine Varnell  ,3/16/2020,Location D,3.00,3,1,1
52,Felica Pajak  ,1/1/2020,Location A,1.00,0,5,3
30,Dorine Varnell  ,1/6/2020,Location B,1.00,0,1,1
80,Archie Mobley  ,3/25/2020,Location A,4.00,2,2,1
94,Dorine Varnell  ,2/25/2020,Location D,6.00,4,4,2
100,Khalilah Gratz  ,1/19/2020,Location C,2.00,1,4,3
71,Rueben Maxfield  ,3/17/2020,Location A,6.00,4,3,1
67,Khalilah Gratz  ,2/28/2020,Location C,4.00,3,1,1
77,Bobbie Cannella  ,3/14/2020,Location B,6.00,4,4,3
92,Frederica Tope  ,4/1/2020,Location D,6.00,5,1,1
86,Rueben Maxfield  ,4/6/2020,Location A,2.00,1,3,3
79,Archie Mobley  ,1/5/2020,Location A,2.00,1,4,1
17,Felica Pajak  ,2/20/2020,Location C,3.00,0,1,1
13,Khalilah Gratz  ,1/9/2020,Location A,4.00,0,2,2
82,Frederica Tope  ,3/22/2020,Location B,2.00,1,4,3
7,Felica Pajak  ,2/10/2020,Location A,5.00,2,5,3
18,Rueben Maxfield  ,3/27/2020,Location C,1.00,0,2,2
81,Dorine Varnell  ,1/16/2020,Location D,5.00,0,3,3
45,Archie Mobley  ,1/15/2020,Location C,5.00,2,4,2
6,Dorine Varnell  ,3/26/2020,Location B,5.00,5,5,3
46,Rueben Maxfield  ,2/16/2020,Location C,0.00,0,1,1
5,Mariano Defibaugh  ,1/3/2020,Location C,0.00,0,1,1
75,Dorine Varnell  ,1/6/2020,Location B,7.00,2,4,2
24,Felica Pajak  ,1/1/2020,Location A,7.00,1,5,2
76,Bobbie Cannella  ,1/14/2020,Location B,2.00,0,2,1
36,Archie Mobley  ,3/5/2020,Location A,5.00,4,5,4
27,Alvina Brazee  ,3/18/2020,Location B,2.00,1,1,1
84,Bobbie Cannella  ,1/4/2020,Location D,1.00,1,4,3
32,Frederica Tope  ,1/12/2020,Location D,2.00,2,1,1
91,Dorine Varnell  ,3/6/2020,Location B,3.00,1,2,1
28,Alvina Brazee  ,4/7/2020,Location B,6.00,1,5,4
48,Mariano Defibaugh  ,3/3/2020,Location C,4.00,2,1,1
80,Alvina Brazee  ,2/27/2020,Location B,5.00,2,5,1
72,Khalilah Gratz  ,3/29/2020,Location A,4.00,0,5,1
11,Khalilah Gratz  ,3/19/2020,Location C,5.00,0,1,1
65,Felica Pajak  ,3/11/2020,Location C,5.00,0,4,2
60,Carolina Golla  ,3/10/2020,Location B,5.00,4,1,1
31,Archie Mobley  ,1/25/2020,Location A,0.00,0,3,1
70,Mariano Defibaugh  ,3/23/2020,Location C,3.00,1,2,1
52,Rueben Maxfield  ,2/16/2020,Location C,7.00,1,4,2
33,Alvina Brazee  ,1/28/2020,Location D,6.00,0,1,1
26,Bobbie Cannella  ,2/23/2020,Location B,8.00,1,4,2
39,Dorine Varnell  ,2/5/2020,Location D,4.00,0,1,1
98,Archie Mobley  ,1/15/2020,Location C,8.00,7,5,4
55,Khalilah Gratz  ,2/28/2020,Location C,1.00,1,4,1
3,Carolina Golla  ,1/20/2020,Location D,5.00,1,5,2
35,Alvina Brazee  ,3/28/2020,Location D,1.00,0,3,3
50,Dorine Varnell  ,1/26/2020,Location B,1.00,1,2,2
72,Bobbie Cannella  ,1/24/2020,Location D,3.00,1,4,1
86,Bobbie Cannella  ,3/14/2020,Location B,0.00,0,5,5
40,Bobbie Cannella  ,2/3/2020,Location B,3.00,0,3,3
91,Mariano Defibaugh  ,2/22/2020,Location A,8.00,6,2,2
4,Bobbie Cannella  ,3/24/2020,Location D,8.00,5,2,1
95,Frederica Tope  ,1/2/2020,Location B,5.00,4,5,3
13,Frederica Tope  ,2/21/2020,Location D,1.00,1,1,1
100,Archie Mobley  ,3/15/2020,Location C,4.00,0,4,1
38,Archie Mobley  ,2/14/2020,Location A,3.00,0,5,2
42,Felica Pajak  ,3/1/2020,Location A,6.00,6,4,3
78,Bobbie Cannella  ,3/4/2020,Location D,8.00,6,2,2
4,Frederica Tope  ,1/22/2020,Location B,7.00,6,5,2
54,Mariano Defibaugh  ,1/3/2020,Location C,0.00,0,5,3
14,Bobbie Cannella  ,3/14/2020,Location B,7.00,1,1,1
75,Frederica Tope  ,2/11/2020,Location B,7.00,0,4,3
90,Khalilah Gratz  ,4/8/2020,Location C,8.00,6,2,2
58,Bobbie Cannella  ,3/4/2020,Location D,8.00,6,1,1
67,Archie Mobley  ,3/5/2020,Location A,0.00,0,4,2
80,Frederica Tope  ,3/2/2020,Location B,4.00,4,4,3
76,Felica Pajak  ,1/31/2020,Location C,2.00,2,1,1
99,Rueben Maxfield  ,2/16/2020,Location C,8.00,8,3,1
57,Mariano Defibaugh  ,2/2/2020,Location A,5.00,0,3,1
80,Dorine Varnell  ,3/26/2020,Location B,7.00,2,3,1
5,Archie Mobley  ,1/5/2020,Location A,6.00,1,2,2
37,Frederica Tope  ,3/2/2020,Location B,5.00,2,3,3
97,Alvina Brazee  ,1/8/2020,Location D,5.00,3,2,1
3,Frederica Tope  ,1/2/2020,Location B,8.00,4,3,2
80,Felica Pajak  ,3/11/2020,Location C,7.00,6,5,4
73,Alvina Brazee  ,1/28/2020,Location D,1.00,0,2,2
16,Mariano Defibaugh  ,2/22/2020,Location A,2.00,2,2,2
94,Felica Pajak  ,3/21/2020,Location A,8.00,5,5,2
84,Frederica Tope  ,3/2/2020,Location B,3.00,3,1,1
19,Archie Mobley  ,2/14/2020,Location A,2.00,2,5,1
79,Alvina Brazee  ,2/7/2020,Location B,5.00,0,1,1
47,Alvina Brazee  ,4/7/2020,Location B,4.00,1,1,1
53,Dorine Varnell  ,3/26/2020,Location B,8.00,1,1,1
2,Frederica Tope  ,1/2/2020,Location B,5.00,1,3,1
99,Khalilah Gratz  ,1/19/2020,Location C,2.00,1,1,1
80,Felica Pajak  ,3/11/2020,Location C,6.00,4,5,1
35,Carolina Golla  ,3/20/2020,Location D,4.00,1,2,2
53,Alvina Brazee  ,2/17/2020,Location D,8.00,4,1,1
97,Bobbie Cannella  ,2/13/2020,Location D,4.00,4,4,2
12,Dorine Varnell  ,1/16/2020,Location D,8.00,7,5,1
59,Bobbie Cannella  ,3/14/2020,Location B,2.00,2,2,1
94,Bobbie Cannella  ,1/4/2020,Location D,3.00,2,3,2
92,Felica Pajak  ,1/1/2020,Location A,4.00,1,3,3
36,Dorine Varnell  ,3/6/2020,Location B,7.00,1,4,4
62,Frederica Tope  ,3/22/2020,Location B,5.00,4,5,1
73,Khalilah Gratz  ,1/19/2020,Location C,3.00,2,5,1
2,Carolina Golla  ,1/30/2020,Location B,8.00,7,2,1
78,Frederica Tope  ,1/2/2020,Location B,3.00,3,4,3
57,Felica Pajak  ,1/1/2020,Location A,4.00,3,1,1
62,Bobbie Cannella  ,2/3/2020,Location B,8.00,4,4,1
95,Dorine Varnell  ,2/5/2020,Location D,4.00,4,1,1
94,Dorine Varnell  ,3/6/2020,Location B,2.00,0,4,4
12,Khalilah Gratz  ,2/28/2020,Location C,7.00,6,3,3
98,Carolina Golla  ,2/9/2020,Location D,5.00,0,2,1
98,Archie Mobley  ,1/15/2020,Location C,8.00,3,1,1
24,Archie Mobley  ,3/15/2020,Location C,2.00,0,3,2
7,Bobbie Cannella  ,2/3/2020,Location B,3.00,3,3,2
4,Frederica Tope  ,1/2/2020,Location B,1.00,0,1,1
100,Alvina Brazee  ,2/17/2020,Location D,3.00,2,5,4
9,Rueben Maxfield  ,1/17/2020,Location A,3.00,3,4,4
63,Dorine Varnell  ,2/5/2020,Location D,1.00,1,3,3
87,Carolina Golla  ,1/20/2020,Location D,3.00,2,2,2
66,Khalilah Gratz  ,1/19/2020,Location C,1.00,0,2,1
50,Dorine Varnell  ,2/15/2020,Location B,1.00,1,3,1
22,Alvina Brazee  ,1/18/2020,Location B,5.00,2,4,1
3,Felica Pajak  ,2/10/2020,Location A,3.00,0,2,2
13,Bobbie Cannella  ,1/24/2020,Location D,8.00,1,5,1
90,Rueben Maxfield  ,3/27/2020,Location C,8.00,0,1,1
91,Alvina Brazee  ,3/18/2020,Location B,3.00,1,2,2
16,Alvina Brazee  ,3/8/2020,Location D,6.00,4,2,2
21,Felica Pajak  ,3/1/2020,Location A,0.00,0,1,1
45,Rueben Maxfield  ,2/26/2020,Location A,4.00,3,5,1
50,Frederica Tope  ,3/2/2020,Location B,2.00,0,1,1
1,Carolina Golla  ,2/9/2020,Location D,3.00,1,5,5
13,Alvina Brazee  ,1/28/2020,Location D,3.00,1,4,1
63,Archie Mobley  ,3/15/2020,Location C,0.00,0,1,1
1,Mariano Defibaugh  ,1/23/2020,Location C,6.00,2,2,2
61,Khalilah Gratz  ,1/29/2020,Location A,1.00,1,1,1
51,Frederica Tope  ,2/21/2020,Location D,5.00,5,5,2
14,Alvina Brazee  ,2/27/2020,Location B,0.00,0,2,2
55,Felica Pajak  ,1/11/2020,Location C,5.00,4,2,1
73,Alvina Brazee  ,3/18/2020,Location B,7.00,1,4,3
13,Frederica Tope  ,2/1/2020,Location D,5.00,0,2,2
68,Felica Pajak  ,3/1/2020,Location A,4.00,0,1,1
18,Bobbie Cannella  ,1/24/2020,Location D,0.00,0,1,1
8,Alvina Brazee  ,2/27/2020,Location B,3.00,1,3,3
58,Khalilah Gratz  ,3/29/2020,Location A,8.00,7,2,2
80,Frederica Tope  ,2/21/2020,Location D,5.00,4,5,3
11,Carolina Golla  ,1/10/2020,Location B,3.00,3,3,3
2,Bobbie Cannella  ,2/3/2020,Location B,6.00,6,3,3
75,Carolina Golla  ,3/10/2020,Location B,1.00,1,2,2
20,Carolina Golla  ,3/10/2020,Location B,2.00,0,1,1
45,Khalilah Gratz  ,1/19/2020,Location C,4.00,0,4,3
14,Dorine Varnell  ,2/5/2020,Location D,7.00,1,5,3
20,Dorine Varnell  ,3/6/2020,Location B,5.00,2,5,2
93,Khalilah Gratz  ,3/29/2020,Location A,5.00,1,2,1
47,Felica Pajak  ,1/1/2020,Location A,4.00,0,5,5
22,Mariano Defibaugh  ,1/23/2020,Location C,2.00,0,5,3
74,Archie Mobley  ,3/15/2020,Location C,7.00,5,5,5
91,Archie Mobley  ,1/15/2020,Location C,1.00,0,3,3
53,Felica Pajak  ,3/21/2020,Location A,7.00,5,2,2
97,Archie Mobley  ,3/15/2020,Location C,4.00,4,4,4
36,Felica Pajak  ,3/1/2020,Location A,8.00,4,2,1
36,Frederica Tope  ,4/1/2020,Location D,1.00,0,2,2
1,Khalilah Gratz  ,3/29/2020,Location A,0.00,0,5,1
98,Dorine Varnell  ,3/26/2020,Location B,0.00,0,1,1
24,Carolina Golla  ,1/30/2020,Location B,7.00,4,1,1
3,Bobbie Cannella  ,2/3/2020,Location B,1.00,1,5,4
71,Bobbie Cannella  ,1/14/2020,Location B,6.00,3,1,1
33,Mariano Defibaugh  ,3/3/2020,Location C,6.00,2,1,1
21,Bobbie Cannella  ,3/4/2020,Location D,5.00,0,4,1
99,Carolina Golla  ,1/30/2020,Location B,8.00,3,4,3
62,Rueben Maxfield  ,3/27/2020,Location C,7.00,4,4,4
45,Rueben Maxfield  ,1/7/2020,Location C,4.00,0,1,1
15,Frederica Tope  ,2/21/2020,Location D,3.00,2,3,3
28,Dorine Varnell  ,2/5/2020,Location D,0.00,0,2,2
65,Bobbie Cannella  ,3/24/2020,Location D,0.00,0,5,3
75,Alvina Brazee  ,2/7/2020,Location B,5.00,0,4,4
76,Felica Pajak  ,3/1/2020,Location A,8.00,6,3,3
64,Carolina Golla  ,3/20/2020,Location D,0.00,0,4,1
21,Archie Mobley  ,1/15/2020,Location C,3.00,3,1,1
5,Frederica Tope  ,3/12/2020,Location D,2.00,1,4,1
18,Mariano Defibaugh  ,1/3/2020,Location C,4.00,4,3,3
26,Carolina Golla  ,1/20/2020,Location D,1.00,0,2,1
38,Rueben Maxfield  ,1/7/2020,Location C,1.00,1,3,2
35,Archie Mobley  ,4/4/2020,Location C,0.00,0,1,1
22,Carolina Golla  ,3/20/2020,Location D,7.00,5,4,1
18,Felica Pajak  ,2/20/2020,Location C,6.00,5,3,3
56,Alvina Brazee  ,1/18/2020,Location B,5.00,1,3,3
50,Bobbie Cannella  ,3/4/2020,Location D,8.00,6,3,2
52,Khalilah Gratz  ,3/9/2020,Location A,6.00,2,5,5
93,Carolina Golla  ,2/19/2020,Location B,4.00,2,4,4
89,Dorine Varnell  ,2/15/2020,Location B,6.00,2,1,1
85,Mariano Defibaugh  ,3/13/2020,Location A,1.00,0,3,3
7,Archie Mobley  ,3/15/2020,Location C,4.00,4,4,2
92,Alvina Brazee  ,2/17/2020,Location D,0.00,0,5,4
15,Khalilah Gratz  ,1/29/2020,Location A,4.00,1,2,1
62,Felica Pajak  ,3/11/2020,Location C,0.00,0,5,4
34,Archie Mobley  ,3/15/2020,Location C,6.00,2,4,1
79,Archie Mobley  ,3/5/2020,Location A,2.00,2,3,1
21,Mariano Defibaugh  ,3/13/2020,Location A,5.00,3,2,1
80,Bobbie Cannella  ,3/4/2020,Location D,8.00,1,2,2
9,Bobbie Cannella  ,4/3/2020,Location B,8.00,5,2,1
1,Frederica Tope  ,1/2/2020,Location B,6.00,5,4,2
83,Carolina Golla  ,3/20/2020,Location D,2.00,0,3,1
6,Frederica Tope  ,2/21/2020,Location D,5.00,2,4,1
43,Frederica Tope  ,1/22/2020,Location B,1.00,1,4,4
1,Khalilah Gratz  ,3/29/2020,Location A,7.00,2,3,1
66,Khalilah Gratz  ,4/8/2020,Location C,4.00,4,4,2
88,Dorine Varnell  ,2/15/2020,Location B,1.00,0,4,3
79,Rueben Maxfield  ,2/26/2020,Location A,1.00,1,4,2
2,Alvina Brazee  ,1/8/2020,Location D,4.00,3,3,1
37,Archie Mobley  ,2/24/2020,Location C,7.00,5,3,3
26,Archie Mobley  ,3/25/2020,Location A,6.00,3,3,1
75,Archie Mobley  ,2/24/2020,Location C,7.00,2,4,2
74,Carolina Golla  ,2/29/2020,Location D,2.00,2,4,1
79,Dorine Varnell  ,3/26/2020,Location B,6.00,0,2,1
3,Khalilah Gratz  ,2/8/2020,Location C,3.00,0,1,1
26,Felica Pajak  ,2/20/2020,Location C,7.00,7,1,1
36,Archie Mobley  ,1/25/2020,Location A,0.00,0,4,1
30,Rueben Maxfield  ,1/27/2020,Location C,0.00,0,4,4
97,Frederica Tope  ,4/1/2020,Location D,8.00,2,2,1
70,Carolina Golla  ,4/9/2020,Location D,3.00,2,4,1
10,Dorine Varnell  ,3/16/2020,Location D,8.00,4,5,1
30,Archie Mobley  ,4/4/2020,Location C,0.00,0,2,1
64,Archie Mobley  ,1/25/2020,Location A,7.00,2,5,1
22,Bobbie Cannella  ,1/4/2020,Location D,3.00,1,4,3
93,Frederica Tope  ,2/11/2020,Location B,2.00,0,5,4
64,Archie Mobley  ,1/25/2020,Location A,2.00,1,4,4
20,Frederica Tope  ,1/12/2020,Location D,5.00,1,1,1
38,Archie Mobley  ,2/14/2020,Location A,3.00,3,3,1
90,Bobbie Cannella  ,3/4/2020,Location D,6.00,1,1,1
76,Mariano Defibaugh  ,1/23/2020,Location C,3.00,1,3,1
2,Frederica Tope  ,3/22/2020,Location B,3.00,3,3,3
75,Frederica Tope  ,1/12/2020,Location D,4.00,2,2,2
22,Bobbie Cannella  ,1/24/2020,Location D,2.00,2,3,3
29,Frederica Tope  ,1/22/2020,Location B,2.00,1,1,1
63,Rueben Maxfield  ,3/17/2020,Location A,4.00,0,3,3
10,Mariano Defibaugh  ,2/2/2020,Location A,6.00,5,4,1
83,Frederica Tope  ,3/22/2020,Location B,8.00,7,5,2
96,Dorine Varnell  ,2/5/2020,Location D,2.00,2,5,3
100,Felica Pajak  ,1/31/2020,Location C,8.00,6,5,3
10,Carolina Golla  ,1/10/2020,Location B,6.00,0,5,3
88,Felica Pajak  ,3/11/2020,Location C,2.00,1,1,1
27,Felica Pajak  ,2/10/2020,Location A,8.00,2,2,2
66,Mariano Defibaugh  ,1/3/2020,Location C,8.00,3,3,1
99,Dorine Varnell  ,4/5/2020,Location D,3.00,1,3,2
74,Rueben Maxfield  ,1/27/2020,Location C,3.00,3,4,3
35,Archie Mobley  ,1/15/2020,Location C,8.00,1,1,1
31,Archie Mobley  ,4/4/2020,Location C,8.00,6,3,1
49,Mariano Defibaugh  ,1/23/2020,Location C,6.00,2,3,1
21,Frederica Tope  ,3/2/2020,Location B,5.00,5,3,2
10,Dorine Varnell  ,1/26/2020,Location B,5.00,3,2,1
59,Carolina Golla  ,4/9/2020,Location D,5.00,4,5,2
44,Felica Pajak  ,3/1/2020,Location A,7.00,7,4,4
36,Dorine Varnell  ,1/16/2020,Location D,1.00,0,1,1
78,Dorine Varnell  ,2/25/2020,Location D,8.00,3,2,2
9,Khalilah Gratz  ,1/9/2020,Location A,2.00,1,4,2
78,Mariano Defibaugh  ,2/12/2020,Location C,6.00,5,2,2
37,Dorine Varnell  ,3/16/2020,Location D,6.00,1,4,4
93,Frederica Tope  ,1/12/2020,Location D,5.00,4,1,1
80,Felica Pajak  ,3/11/2020,Location C,7.00,4,1,1
62,Felica Pajak  ,3/31/2020,Location C,5.00,2,3,2
43,Felica Pajak  ,2/20/2020,Location C,8.00,1,4,2
50,Khalilah Gratz  ,3/29/2020,Location A,7.00,7,2,1
64,Alvina Brazee  ,2/7/2020,Location B,2.00,0,4,2
45,Carolina Golla  ,1/10/2020,Location B,3.00,0,2,1
14,Bobbie Cannella  ,1/4/2020,Location D,4.00,0,3,3
29,Khalilah Gratz  ,4/8/2020,Location C,7.00,0,4,3
81,Carolina Golla  ,2/19/2020,Location B,0.00,0,5,3
52,Bobbie Cannella  ,2/23/2020,Location B,6.00,4,2,1
14,Rueben Maxfield  ,3/27/2020,Location C,6.00,6,5,1
16,Rueben Maxfield  ,1/27/2020,Location C,8.00,8,3,3
39,Bobbie Cannella  ,4/3/2020,Location B,3.00,2,1,1
31,Carolina Golla  ,3/30/2020,Location B,8.00,7,2,2
48,Mariano Defibaugh  ,4/2/2020,Location A,4.00,2,2,1
52,Khalilah Gratz  ,1/19/2020,Location C,5.00,5,3,3
53,Carolina Golla  ,3/30/2020,Location B,3.00,2,1,1
12,Frederica Tope  ,1/22/2020,Location B,2.00,1,1,1
42,Archie Mobley  ,3/5/2020,Location A,6.00,2,3,2
26,Mariano Defibaugh  ,2/12/2020,Location C,2.00,2,1,1
57,Alvina Brazee  ,2/17/2020,Location D,4.00,4,5,2
86,Rueben Maxfield  ,3/27/2020,Location C,6.00,5,5,3
31,Dorine Varnell  ,3/26/2020,Location B,6.00,6,3,2
26,Mariano Defibaugh  ,2/12/2020,Location C,4.00,2,4,2
22,Archie Mobley  ,1/25/2020,Location A,8.00,8,3,2
52,Frederica Tope  ,2/21/2020,Location D,1.00,1,3,1
39,Khalilah Gratz  ,3/29/2020,Location A,4.00,2,3,1
36,Frederica Tope  ,2/1/2020,Location D,4.00,3,4,3
11,Dorine Varnell  ,4/5/2020,Location D,8.00,8,2,1
12,Rueben Maxfield  ,1/27/2020,Location C,2.00,2,4,1
22,Archie Mobley  ,2/24/2020,Location C,7.00,7,4,2
62,Frederica Tope  ,3/2/2020,Location B,2.00,1,3,3
84,Alvina Brazee  ,2/7/2020,Location B,1.00,1,4,4
43,Alvina Brazee  ,4/7/2020,Location B,2.00,2,5,4
4,Khalilah Gratz  ,2/8/2020,Location C,2.00,1,3,3
